placement,local_bsz,step_time,sync_time
1,20,0.14740917682647706,0.0012090879917144776
1,28,0.20809321403503417,0.0012060832023620606
1,40,0.2534669876098633,0.0012079136133193971
1,57,0.32392780780792235,0.0012021311998367309
1,81,0.42071189880371096,0.0011982880115509033
1,115,0.5602007150650025,0.0012013024091720582
1,163,0.7624222040176392,0.0012011392235755922
1,200,0.923530888557434,0.0012039680004119874
11,20,0.2574869871139526,0.11061831436157225
11,28,0.3054591417312622,0.10949560623168945
11,40,0.42937819957733153,0.18788365631103515
11,57,0.38102824687957765,0.06090821156501769
11,81,0.4298936605453491,0.005901331186294556
11,115,0.5737015724182128,0.008863702464103698
11,163,0.7760424852371216,0.003179014372825622
11,200,0.9601432323455811,0.005032544088363647
111,20,0.23737723827362062,0.08408835372924804
111,28,0.28405032157897947,0.08666676712036132
111,40,0.2662912368774414,0.013323228836059567
111,57,0.3389601469039917,0.006044060683250427
111,81,0.43358163833618163,0.0038028287887573245
111,115,0.5780881881713867,0.004906889605522156
111,163,0.7924165010452271,0.003590070366859436
111,200,0.9690914869308471,0.003591766428947449
1111,20,0.33392465114593506,0.18120126190185548
1111,28,0.3213683605194092,0.12252636566162109
1111,40,0.3229727029800415,0.07318617210388183
1111,57,0.3661052942276001,0.029918828582763672
1111,81,0.43562161922454834,0.005437628793716431
1111,115,0.5870081186294556,0.004956742477416991
1111,163,0.7996038436889649,0.004459088015556335
1111,200,0.9843716382980346,0.004529759979248047
1112,20,0.26208436489105225,0.11606852416992186
1112,28,0.2779815912246704,0.08163185577392579
1112,40,0.3024987459182739,0.05843053131103515
1112,57,0.33676111698150635,0.018539603424072265
1112,81,0.4252737522125244,0.010166255927085878
1112,115,0.5725114345550537,0.011905014538764953
1112,163,0.7771055936813355,0.022747472190856936
1112,200,0.942706823348999,0.025205184173583983
1113,20,0.31184563636779783,0.1650535949707031
1113,28,0.37875006198883054,0.18367429504394533
1113,40,0.33950395584106446,0.09551760177612305
1113,57,0.3750601768493652,0.054129727745056144
1113,81,0.4652366876602173,0.04457041044235229
1113,115,0.5879131078720092,0.022836422348022464
1113,163,0.8035566091537476,0.03184736022949219
1113,200,0.9838735580444335,0.04183523826599121
1114,20,0.28052995204925535,0.1323817497253418
1114,28,0.31027731895446775,0.11273480224609375
1114,40,0.34206347465515136,0.09480169219970702
1114,57,0.36362974643707274,0.03989549446105957
1114,81,0.4384481906890869,0.012804147005081177
1114,115,0.577043104171753,0.0066759360790252685
1114,163,0.803616976737976,0.0215620418548584
1114,200,0.9908090829849243,0.005207327938079834
112,20,0.2399056673049927,0.09266503601074218
112,28,0.29067513942718504,0.09419996871948241
112,40,0.3125853776931763,0.06781332473754884
112,57,0.3415842533111572,0.021630799961090085
112,81,0.4340930223464966,0.016043868947029114
112,115,0.5654389142990113,0.005798998379707336
112,163,0.7709777355194092,0.00641756808757782
112,200,0.9418600797653198,0.011204793548583983
1122,20,0.30051887035369873,0.14983128280639652
1122,28,0.3990260362625122,0.19961833953857422
1122,40,0.3783189535140991,0.1265586349487305
1122,57,0.42082579135894777,0.090103763961792
1122,81,0.4442089319229126,0.006035948848724365
1122,115,0.6003917455673218,0.004817449522018432
1122,163,0.8211981058120728,0.005683609628677368
1122,200,1.043098258972168,0.007011174297332762
1123,20,0.3533968687057495,0.2086759826660156
1123,28,0.382037878036499,0.18852760467529298
1123,40,0.39511332511901853,0.15405070800781248
1123,57,0.42828752994537356,0.11100313262939454
1123,81,0.47243287563323977,0.04862690544128418
1123,115,0.5868898391723633,0.02809958381652832
1123,163,0.7987964868545532,0.03446726741790772
1123,200,0.98832266330719,0.04850669479370117
1124,20,0.3908519744873047,0.24585626831054688
1124,28,0.41666264533996583,0.22391368713378906
1124,40,0.41692922115325926,0.1757533020019531
1124,57,0.43065447807312013,0.11560592346191405
1124,81,0.5267660856246948,0.11153219985961912
1124,115,0.6293546676635742,0.07275752677917481
1124,163,0.8425740242004395,0.08174753494262696
1124,200,1.03275465965271,0.10793364791870115
113,20,0.28955926895141604,0.14347841033935546
113,28,0.2966325283050537,0.09960960540771484
113,40,0.3084189653396606,0.0625022975921631
113,57,0.39438958168029786,0.0744888599395752
113,81,0.4404625415802002,0.017905308771133423
113,115,0.5937684297561645,0.03026946258544922
113,163,0.8019227743148803,0.0299666301727295
113,200,1.0016045808792113,0.05814704895019531
1132,20,0.28976192474365237,0.14400124740600587
1132,28,0.3068805694580078,0.11199016189575195
1132,40,0.34520721435546875,0.10046929702758786
1132,57,0.37493917942047117,0.05651388549804687
1132,81,0.45258944034576415,0.03315748500823974
1132,115,0.5985833168029785,0.039297270584106446
1132,163,0.8181307077407837,0.05337591400146484
1132,200,1.0124929189682006,0.08158741989135741
1133,20,0.321651554107666,0.1692330459594727
1133,28,0.33620896339416506,0.13839461669921876
1133,40,0.3836341619491577,0.13836776962280276
1133,57,0.43631539344787595,0.10411427688598633
1133,81,0.47771458625793456,0.05210203838348389
1133,115,0.6058807849884034,0.03543158092498779
1133,163,0.8360417366027832,0.0565234203338623
1133,200,1.0792291402816772,0.12447843170166015
1134,20,0.3520210742950439,0.2048619400024414
1134,28,0.3871796131134033,0.19096195373535158
1134,40,0.3874714136123657,0.139196346282959
1134,57,0.43036839962005613,0.1023737648010254
1134,81,0.4935736656188965,0.04801575412750243
1134,115,0.631566071510315,0.053832669448852545
