name,time,application,num_replicas,batch_size
deepspeech2-0,110,deepspeech2,6,320
cifar10-1,356,cifar10,16,4096
ncf-2,839,ncf,1,32768
ncf-3,1282,ncf,1,32768
cifar10-4,1332,cifar10,12,4096
cifar10-5,1740,cifar10,12,4096
cifar10-6,1932,cifar10,16,4096
ncf-7,2420,ncf,1,32768
ncf-8,2615,ncf,1,32768
ncf-9,3488,ncf,1,32768
ncf-10,4277,ncf,1,32768
cifar10-11,5841,cifar10,8,2048
ncf-12,5880,ncf,1,32768
ncf-13,6103,ncf,1,32768
cifar10-14,6732,cifar10,8,2048
cifar10-15,6899,cifar10,6,2048
cifar10-16,7025,cifar10,12,4096
ncf-17,7332,ncf,1,32768
ncf-18,10477,ncf,1,32768
cifar10-19,10819,cifar10,8,2048
cifar10-20,11207,cifar10,16,4096
yolov3-21,11382,yolov3,4,64
yolov3-22,11528,yolov3,4,64
cifar10-23,12608,cifar10,16,4096
cifar10-24,12683,cifar10,16,4096
ncf-25,13307,ncf,1,32768
ncf-26,13608,ncf,1,32768
deepspeech2-27,13759,deepspeech2,6,320
ncf-28,13806,ncf,1,32768
cifar10-29,13927,cifar10,16,4096
ncf-30,14439,ncf,1,32768
ncf-31,14735,ncf,1,32768
ncf-32,15010,ncf,1,32768
cifar10-33,15146,cifar10,6,2048
bert-34,15172,bert,16,384
cifar10-35,15262,cifar10,16,4096
cifar10-36,15602,cifar10,8,2048
ncf-37,15603,ncf,1,32768
cifar10-38,15831,cifar10,8,2048
cifar10-39,16331,cifar10,12,4096
ncf-40,16834,ncf,1,32768
cifar10-41,17553,cifar10,12,4096
ncf-42,17636,ncf,1,32768
cifar10-43,17739,cifar10,16,4096
ncf-44,18115,ncf,1,32768
cifar10-45,18573,cifar10,12,4096
ncf-46,18660,ncf,1,32768
ncf-47,18719,ncf,1,32768
cifar10-48,18955,cifar10,6,2048
ncf-49,19331,ncf,1,32768
deepspeech2-50,19353,deepspeech2,12,640
cifar10-51,19362,cifar10,16,4096
cifar10-52,19395,cifar10,8,2048
ncf-53,19436,ncf,1,32768
ncf-54,19464,ncf,1,32768
ncf-55,19658,ncf,1,32768
deepspeech2-56,19750,deepspeech2,12,640
cifar10-57,19760,cifar10,12,4096
ncf-58,19916,ncf,1,32768
ncf-59,20014,ncf,1,32768
deepspeech2-60,20440,deepspeech2,8,320
cifar10-61,20517,cifar10,16,4096
bert-62,20529,bert,12,384
cifar10-63,21069,cifar10,16,4096
cifar10-64,21170,cifar10,16,4096
cifar10-65,21664,cifar10,8,2048
bert-66,21744,bert,6,384
cifar10-67,22185,cifar10,12,4096
ncf-68,22311,ncf,1,32768
cifar10-69,23533,cifar10,6,2048
ncf-70,23642,ncf,1,32768
ncf-71,24116,ncf,1,32768
ncf-72,24823,ncf,1,32768
cifar10-73,25682,cifar10,6,2048
ncf-74,25716,ncf,1,32768
ncf-75,25727,ncf,1,32768
cifar10-76,25931,cifar10,8,2048
cifar10-77,26599,cifar10,6,2048
deepspeech2-78,26752,deepspeech2,6,320
imagenet-79,26786,imagenet,32,6400
