name,time,application,num_replicas,batch_size
ncf-0,35,ncf,1,256
yolov3-1,520,yolov3,1,8
ncf-2,1198,ncf,1,256
bert-3,1270,bert,1,12
deepspeech2-4,1303,deepspeech2,1,20
ncf-5,1497,ncf,1,256
cifar10-6,1519,cifar10,1,128
ncf-7,1619,ncf,1,256
ncf-8,1858,ncf,1,256
ncf-9,2017,ncf,1,256
cifar10-10,2254,cifar10,1,128
ncf-11,2749,ncf,1,256
cifar10-12,2911,cifar10,1,128
ncf-13,3134,ncf,1,256
cifar10-14,3208,cifar10,1,128
ncf-15,3421,ncf,1,256
ncf-16,3565,ncf,1,256
cifar10-17,3732,cifar10,1,128
cifar10-18,4316,cifar10,1,128
cifar10-19,4692,cifar10,1,128
cifar10-20,4702,cifar10,1,128
ncf-21,5256,ncf,1,256
ncf-22,5430,ncf,1,256
cifar10-23,5500,cifar10,1,128
ncf-24,5611,ncf,1,256
cifar10-25,5707,cifar10,1,128
imagenet-26,5774,imagenet,16,3200
cifar10-27,5801,cifar10,1,128
ncf-28,5854,ncf,1,256
cifar10-29,5884,cifar10,1,128
ncf-30,7110,ncf,1,256
cifar10-31,7347,cifar10,1,128
yolov3-32,7562,yolov3,2,16
ncf-33,7626,ncf,1,256
deepspeech2-34,7858,deepspeech2,4,80
ncf-35,7906,ncf,1,256
yolov3-36,8037,yolov3,2,16
cifar10-37,8313,cifar10,1,128
ncf-38,9268,ncf,1,256
ncf-39,9311,ncf,1,256
yolov3-40,9391,yolov3,1,8
ncf-41,9513,ncf,2,512
ncf-42,9582,ncf,1,256
ncf-43,9612,ncf,1,256
ncf-44,9715,ncf,1,256
cifar10-45,10317,cifar10,1,128
cifar10-46,10392,cifar10,1,128
cifar10-47,10660,cifar10,1,128
cifar10-48,10737,cifar10,1,128
cifar10-49,10859,cifar10,1,128
ncf-50,11060,ncf,1,256
cifar10-51,11782,cifar10,1,128
deepspeech2-52,12205,deepspeech2,1,20
ncf-53,12379,ncf,1,256
cifar10-54,12421,cifar10,1,128
ncf-55,12712,ncf,1,256
ncf-56,13106,ncf,1,256
ncf-57,13457,ncf,1,256
ncf-58,13554,ncf,1,256
cifar10-59,13734,cifar10,1,128
ncf-60,13797,ncf,1,256
cifar10-61,13938,cifar10,1,128
yolov3-62,14090,yolov3,1,8
ncf-63,14186,ncf,1,256
cifar10-64,14205,cifar10,1,128
ncf-65,14245,ncf,1,256
bert-66,14499,bert,1,12
cifar10-67,14623,cifar10,1,128
cifar10-68,14715,cifar10,1,128
deepspeech2-69,14737,deepspeech2,1,20
ncf-70,14871,ncf,1,256
ncf-71,14932,ncf,1,256
deepspeech2-72,14937,deepspeech2,1,20
deepspeech2-73,14992,deepspeech2,1,20
cifar10-74,15132,cifar10,1,128
yolov3-75,15245,yolov3,1,8
cifar10-76,15340,cifar10,1,128
ncf-77,15735,ncf,1,256
cifar10-78,15779,cifar10,1,128
cifar10-79,15835,cifar10,1,128
bert-80,15863,bert,1,12
cifar10-81,16026,cifar10,1,128
ncf-82,16067,ncf,1,256
bert-83,16077,bert,1,12
bert-84,16142,bert,1,12
deepspeech2-85,16332,deepspeech2,1,20
cifar10-86,16381,cifar10,1,128
cifar10-87,16588,cifar10,1,128
ncf-88,16610,ncf,1,256
bert-89,17011,bert,1,12
bert-90,17109,bert,1,12
deepspeech2-91,17238,deepspeech2,1,20
deepspeech2-92,17277,deepspeech2,1,20
cifar10-93,17414,cifar10,1,128
bert-94,17521,bert,1,12
ncf-95,17749,ncf,1,256
cifar10-96,17866,cifar10,1,128
bert-97,18060,bert,1,12
cifar10-98,18115,cifar10,1,128
cifar10-99,18139,cifar10,1,128
cifar10-100,18211,cifar10,1,128
ncf-101,18244,ncf,1,256
ncf-102,18284,ncf,1,256
yolov3-103,18385,yolov3,1,8
cifar10-104,18415,cifar10,1,128
cifar10-105,18549,cifar10,1,128
cifar10-106,18711,cifar10,1,128
cifar10-107,18744,cifar10,1,128
ncf-108,18800,ncf,1,256
deepspeech2-109,18851,deepspeech2,1,20
ncf-110,18853,ncf,1,256
bert-111,18925,bert,1,12
ncf-112,19084,ncf,1,256
cifar10-113,19141,cifar10,1,128
cifar10-114,19260,cifar10,1,128
ncf-115,19331,ncf,1,256
cifar10-116,19492,cifar10,1,128
deepspeech2-117,19595,deepspeech2,1,20
ncf-118,19915,ncf,1,256
cifar10-119,20057,cifar10,1,128
cifar10-120,20362,cifar10,1,128
cifar10-121,20530,cifar10,1,128
ncf-122,20531,ncf,1,256
ncf-123,20531,ncf,1,256
cifar10-124,20548,cifar10,1,128
cifar10-125,20673,cifar10,1,128
cifar10-126,20694,cifar10,1,128
cifar10-127,20742,cifar10,1,128
cifar10-128,20884,cifar10,1,128
ncf-129,20937,ncf,1,256
cifar10-130,21132,cifar10,1,128
ncf-131,21335,ncf,1,256
ncf-132,21487,ncf,1,256
yolov3-133,21615,yolov3,4,32
ncf-134,21680,ncf,1,256
ncf-135,21732,ncf,1,256
cifar10-136,21813,cifar10,1,128
ncf-137,21894,ncf,1,256
cifar10-138,22042,cifar10,1,128
imagenet-139,22196,imagenet,8,1600
bert-140,22968,bert,1,12
cifar10-141,23480,cifar10,1,128
cifar10-142,23609,cifar10,1,128
cifar10-143,23641,cifar10,1,128
deepspeech2-144,24063,deepspeech2,1,20
cifar10-145,24115,cifar10,1,128
deepspeech2-146,24140,deepspeech2,1,20
