name,time,application,num_replicas,batch_size
ncf-0,791,ncf,1,32768
cifar10-1,1151,cifar10,12,4096
cifar10-2,1315,cifar10,12,4096
ncf-3,1335,ncf,1,32768
deepspeech2-4,1386,deepspeech2,6,320
ncf-5,1437,ncf,1,32768
ncf-6,1753,ncf,1,32768
cifar10-7,1855,cifar10,8,2048
cifar10-8,1937,cifar10,16,4096
ncf-9,1955,ncf,1,32768
bert-10,2957,bert,6,384
ncf-11,3114,ncf,1,32768
cifar10-12,3143,cifar10,6,2048
cifar10-13,3159,cifar10,16,4096
cifar10-14,3189,cifar10,6,2048
cifar10-15,3701,cifar10,6,2048
ncf-16,3789,ncf,1,32768
ncf-17,4232,ncf,1,32768
ncf-18,4252,ncf,1,32768
ncf-19,4305,ncf,1,32768
cifar10-20,4966,cifar10,6,2048
cifar10-21,4993,cifar10,8,2048
ncf-22,5125,ncf,1,32768
yolov3-23,5439,yolov3,4,64
cifar10-24,5533,cifar10,12,4096
cifar10-25,5693,cifar10,6,2048
cifar10-26,6029,cifar10,12,4096
ncf-27,6117,ncf,1,32768
deepspeech2-28,6211,deepspeech2,12,640
deepspeech2-29,6570,deepspeech2,8,320
cifar10-30,6585,cifar10,16,4096
ncf-31,6732,ncf,1,32768
ncf-32,7188,ncf,1,32768
ncf-33,7331,ncf,1,32768
ncf-34,7332,ncf,1,32768
ncf-35,7736,ncf,1,32768
deepspeech2-36,8268,deepspeech2,6,320
cifar10-37,8635,cifar10,16,4096
ncf-38,9115,ncf,1,32768
ncf-39,10315,ncf,1,32768
cifar10-40,10666,cifar10,6,2048
yolov3-41,10785,yolov3,4,64
cifar10-42,10917,cifar10,8,2048
ncf-43,11281,ncf,1,32768
yolov3-44,11314,yolov3,4,64
yolov3-45,11487,yolov3,4,64
yolov3-46,11554,yolov3,4,64
ncf-47,11582,ncf,1,32768
cifar10-48,11929,cifar10,6,2048
cifar10-49,12117,cifar10,12,4096
yolov3-50,12282,yolov3,4,64
cifar10-51,12660,cifar10,8,2048
ncf-52,13071,ncf,1,32768
ncf-53,13118,ncf,1,32768
deepspeech2-54,13449,deepspeech2,12,640
ncf-55,13458,ncf,1,32768
ncf-56,13497,ncf,1,32768
ncf-57,13632,ncf,1,32768
ncf-58,13674,ncf,1,32768
cifar10-59,13712,cifar10,12,4096
ncf-60,13958,ncf,1,32768
cifar10-61,14020,cifar10,16,4096
cifar10-62,14059,cifar10,12,4096
cifar10-63,14141,cifar10,8,2048
cifar10-64,14172,cifar10,12,4096
ncf-65,14322,ncf,1,32768
ncf-66,14477,ncf,1,32768
cifar10-67,14478,cifar10,12,4096
ncf-68,14515,ncf,1,32768
ncf-69,14536,ncf,1,32768
bert-70,14711,bert,6,384
cifar10-71,14926,cifar10,6,2048
yolov3-72,15569,yolov3,4,64
ncf-73,16581,ncf,1,32768
ncf-74,16935,ncf,1,32768
ncf-75,17062,ncf,1,32768
bert-76,17166,bert,12,384
ncf-77,17552,ncf,1,32768
bert-78,17646,bert,16,384
ncf-79,17804,ncf,1,32768
deepspeech2-80,17817,deepspeech2,8,320
ncf-81,17941,ncf,1,32768
deepspeech2-82,17968,deepspeech2,12,640
cifar10-83,18116,cifar10,12,4096
bert-84,18180,bert,12,384
cifar10-85,18227,cifar10,12,4096
yolov3-86,18756,yolov3,4,64
bert-87,18922,bert,6,384
deepspeech2-88,18929,deepspeech2,12,640
deepspeech2-89,18985,deepspeech2,8,320
bert-90,19037,bert,12,384
ncf-91,19074,ncf,1,32768
deepspeech2-92,19298,deepspeech2,12,640
ncf-93,19420,ncf,1,32768
ncf-94,19434,ncf,1,32768
deepspeech2-95,19448,deepspeech2,12,640
cifar10-96,19559,cifar10,12,4096
cifar10-97,19594,cifar10,8,2048
ncf-98,19847,ncf,1,32768
ncf-99,20105,ncf,1,32768
yolov3-100,20545,yolov3,4,64
ncf-101,20704,ncf,1,32768
cifar10-102,20728,cifar10,16,4096
cifar10-103,20855,cifar10,12,4096
ncf-104,20870,ncf,1,32768
ncf-105,20873,ncf,1,32768
cifar10-106,20900,cifar10,16,4096
cifar10-107,20924,cifar10,16,4096
cifar10-108,20992,cifar10,12,4096
yolov3-109,21071,yolov3,4,64
ncf-110,21115,ncf,1,32768
ncf-111,21177,ncf,1,32768
cifar10-112,21206,cifar10,8,2048
ncf-113,21208,ncf,1,32768
ncf-114,21550,ncf,1,32768
cifar10-115,21667,cifar10,8,2048
bert-116,21723,bert,16,384
yolov3-117,21919,yolov3,4,64
cifar10-118,21920,cifar10,16,4096
ncf-119,22012,ncf,1,32768
cifar10-120,22468,cifar10,8,2048
cifar10-121,22932,cifar10,6,2048
ncf-122,23312,ncf,1,32768
cifar10-123,23531,cifar10,6,2048
cifar10-124,23660,cifar10,8,2048
cifar10-125,23781,cifar10,12,4096
cifar10-126,23816,cifar10,8,2048
ncf-127,23882,ncf,1,32768
ncf-128,24250,ncf,1,32768
cifar10-129,24300,cifar10,6,2048
ncf-130,24435,ncf,1,32768
ncf-131,24607,ncf,1,32768
cifar10-132,24732,cifar10,6,2048
ncf-133,24803,ncf,1,32768
ncf-134,24808,ncf,1,32768
cifar10-135,25188,cifar10,6,2048
ncf-136,25216,ncf,1,32768
ncf-137,25329,ncf,1,32768
ncf-138,25558,ncf,1,32768
ncf-139,25683,ncf,1,32768
bert-140,25741,bert,12,384
cifar10-141,25748,cifar10,8,2048
deepspeech2-142,25856,deepspeech2,6,320
yolov3-143,25896,yolov3,4,64
yolov3-144,25960,yolov3,4,64
ncf-145,26037,ncf,1,32768
deepspeech2-146,26188,deepspeech2,12,640
bert-147,26311,bert,6,384
yolov3-148,26322,yolov3,4,64
bert-149,26381,bert,16,384
ncf-150,26406,ncf,1,32768
ncf-151,26436,ncf,1,32768
deepspeech2-152,26464,deepspeech2,12,640
bert-153,26644,bert,16,384
bert-154,26871,bert,8,384
bert-155,27106,bert,6,384
cifar10-156,27115,cifar10,6,2048
ncf-157,28335,ncf,1,32768
ncf-158,28388,ncf,1,32768
cifar10-159,28739,cifar10,6,2048
